"id","city_name","lemmatized_city"
99269,"Белореченский район  ","белореченский район"
99274,"Ейский район  ","ейский район"
99275,"Кавказский район  ","кавказский район"
99281,"Крымский район  ","крымский район"
99293,"Славянский район  ","славянский район"
99297,"Тимашевский район  ","тимашевский район"
99298,"Тихорецкий район  ","тихорецкий район"
99299,"Туапсинский район  ","туапсинский район"
99411,"Белокалитвинский район  ","белокалитвинский район"
99456,"Буденновский район  ","буденновский район"
99555,"Кстовский район  ","кстовский район"
99560,"Павловский район  ","павловский район"
99675,"Белебеевский район  ","белебеевский район"
99677,"Белорецкий район  ","белорецкий район"
99694,"Ишимбайский район  ","ишимбайский район"
99703,"Мелеузовский район  ","мелеузовский район"
99712,"Туймазинский район  ","туймазинский район"
99714,"Учалинский район  ","учалинский район"
99817,"Балаковский район  ","балаковский район"
99818,"Балашовский район  ","балашовский район"
99850,"Энгельсский район  ","энгельсский район"
100020,"Саткинский район  ","саткинский район"
100028,"Надымский район  ","надымский район"
100109,"Нижнеудинский район  ","нижнеудинский район"
100112,"Тайшетский район  ","тайшетский район"
100116,"Усть-Кутский район  ","усть-кутский район"
100398,"Амурский район  ","амурский район"
100471,"Красноармейск   ","красноармейск"
101749,"Кандалакшский район  ","кандалакшский район"
101987,"Нерюнгринский район  ","нерюнгринский район"
102444,"Северный Кавказ  ","северный кавказ"
103668,"Провинция Агры  ","провинция агры"
